word	fpm	lemma_fpm	nchar	pos	bin	lfpm10r	nonce_word	incorrect_answers	correct_answers	correct_odds	correct_log_odds	residual	pred
célszerű	36.00233372228705	42.7046674445741	8	adjective	45	1.551	FALSE	0	25	26	3.258096538021482	0.045678428924228943	3.212418109097251
cím	108.2316219369895	522.8554259043174	3	noun	49	2.011	FALSE	0	30	31	3.4339872044851463	0.00335850091665456	3.4306287035684884
darab	96.3656942823804	245.38249708284715	5	noun	49	2.044	FALSE	1	29	15	2.70805020110221	-0.7225785024662816	3.4306287035684884
degusztál	1.1668611435239207e-4	0.002450408401400233	9	verb	1	-3.87	FALSE	28	7	0.27586206896551724	-1.2878542883066382	-2.09995585822027	0.8121015699136319
dermeszt	0.13488914819136522	0.4088681446907818	8	verb	25	-0.813	FALSE	1	32	16.5	2.803360380906535	0.6819952441654733	2.12136513674106
derít	0.8905484247374562	8.511785297549592	5	verb	32	0.012	FALSE	3	23	6	1.791759469228055	-0.7114742078376737	2.503233677065727
desszertestál	3.500583430571762e-4	0.003267211201866978	13	noun	3	-3.393	FALSE	5	32	5.5	1.7047480922384253	0.7835412250891748	0.9212068671492508
deszkalap	0.0543757292882147	0.18413068844807468	9	noun	21	-1.207	FALSE	1	28	14.5	2.6741486494265287	0.7709941071567056	1.9031545422698224
detonátor	0.05390898483080513	0.16534422403733956	9	noun	20	-1.31	FALSE	5	46	7.833333333333333	2.0583881324820035	0.2097862388299899	1.8486018936520128
deutérium	0.3147024504084014	0.41038506417736287	9	noun	28	-0.462	FALSE	12	17	1.3846153846153846	0.32542240043462795	-1.9596006821598624	2.285023082594489
diffamál	3.500583430571762e-4	0.0021003500583430573	8	verb	3	-3.393	FALSE	35	3	0.1111111111111111	-2.1972245773362196	-3.11843144448547	0.9212068671492508
digitális	112.45927654609102	116.69743290548425	9	adjective	49	2.032	FALSE	1	23	12	2.4849066497880004	-0.9457220537804912	3.4306287035684884
diktátor	3.5553092182030337	6.585997666277713	8	noun	37	0.599	FALSE	1	35	18	2.8903717578961645	0.1143748377413879	2.7759969201547747
dipeptid	0.03045507584597433	0.051108518086347726	8	noun	19	-1.46	FALSE	16	20	1.2352941176470589	0.21130909366720696	-1.582740151366997	1.7940492450342032
disszertál	4.667444574095683e-4	0.005017502917152859	10	verb	4	-3.268	FALSE	1	33	17	2.833213344056216	1.857453828289156	0.9757595157670604
diszkretizál	2.3337222870478414e-4	0.010618436406067678	12	verb	2	-3.569	FALSE	11	31	2.6666666666666665	0.9808292530117262	0.11417503448028524	0.8666542185314414
diviz	0.002450408401400233	0.004317386231038506	5	noun	10	-2.569	FALSE	27	2	0.10714285714285714	-2.2335922215070942	-3.536667628981012	1.3030754074739177
diáknyelv	0.0676779463243874	0.11633605600933489	9	noun	22	-1.131	FALSE	0	37	38	3.6375861597263857	1.6798789688387528	1.957707190887632
dobbant	0.01295215869311552	0.6364060676779463	7	verb	14	-2.001	FALSE	0	28	29	3.367295829986474	1.8460098280413184	1.5212860019451555
doktorátus	0.13605600933488915	1.0213535589264877	10	noun	24	-0.82	FALSE	2	29	10	2.302585092994046	0.235772604870794	2.066812488123251
dokumentum	47.65297549591599	151.8443407234539	10	noun	46	1.715	FALSE	0	35	36	3.58351893845611	0.3165481807410469	3.26697075771506
dolgozik	77.30186697782963	423.23127187864645	8	verb	48	1.948	FALSE	0	25	26	3.258096538021482	-0.1179795169292	3.376076054950679
dolog	211.71388564760792	692.5780630105018	5	noun	50	2.387	FALSE	0	27	28	3.332204510175204	-0.15297684201109749	3.4851813521862978
donhuán	0.009218203033838973	0.010851808634772461	7	noun	10	-2.472	FALSE	11	21	1.8333333333333333	0.6061358035703155	-0.6969396039036021	1.3030754074739177
dádá	0.0338389731621937	0.04772462077012835	4	noun	19	-1.428	FALSE	14	28	1.9333333333333331	0.659245628884264	-1.1348036161499395	1.7940492450342032
dán	12.558459743290548	17.326604434072344	3	adjective	41	1.147	FALSE	0	18	19	2.9444389791664403	-0.04976853545957476	2.9942075146260123
délceg	0.5917152858809802	0.7453908984830805	6	adjective	30	-0.228	FALSE	1	28	14.5	2.6741486494265287	0.2800202695964193	2.394128379830108
dévánkozik	0.0011668611435239206	0.0021003500583430573	10	verb	7	-2.916	FALSE	33	5	0.17647058823529413	-1.7346010553881064	-2.874018517008595	1.139417461620489
díjnokoskodik	2.3337222870478414e-4	5.834305717619603e-4	13	verb	2	-3.569	FALSE	22	7	0.34782608695652173	-1.0560526742493137	-1.9227068927807545	0.8666542185314414
díszletez	1.1668611435239207e-4	0.006534422403733956	9	verb	1	-3.87	FALSE	5	33	5.666666666666667	1.7346010553881064	0.922499485474475	0.8121015699136319
döföl	0.001633605600933489	0.018319719953325556	5	verb	8	-2.724	FALSE	29	10	0.36666666666666664	-1.0033021088637848	-2.1972722191020835	1.1939701102382985
dögönyöz	0.019603267211201866	0.19918319719953326	8	verb	17	-1.645	FALSE	0	39	40	3.688879454113936	2.0039355063153512	1.684943947798584
dölyfösködik	0.0019836639439906652	0.008518086347724621	12	verb	9	-2.64	FALSE	0	36	37	3.610917912644224	2.3623951537881163	1.248522758856108
egyenetlenkedik	5.834305717619603e-4	0.003267211201866978	15	verb	4	-3.171	FALSE	2	30	10.333333333333334	2.3353749158170367	1.3596154000499767	0.9757595157670604
egyenrangú	5.391365227537923	6.940373395565928	10	adjective	38	0.781	FALSE	2	23	8	2.0794415416798357	-0.7511080270927504	2.830549568772584
egzisztencializmus	0.26872812135355895	0.38028004667444576	18	noun	27	-0.574	FALSE	2	29	10	2.302585092994046	0.07211465901736522	2.230470433976679
egérlyuk	0.04364060676779463	0.17479579929988331	8	noun	20	-1.349	FALSE	1	40	20.5	3.0204248861443626	1.171822992492349	1.8486018936520128
