Subject	data_type	participant_cap	max_trial_number	max_block	n_mistakes_for_real_words_total	exp	link
2364	complete data	50	109	50	8	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2365	complete data	36	117	50	20	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2366	complete data	32	117	50	21	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2367	complete data	40	112	50	13	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2368	complete data	22	79	34	18	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2369	complete data	26	113	50	16	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2370	complete data	50	113	50	8	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2371							
2372	complete data	34	113	50	17	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2373	complete data	49	116	50	12	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2374	complete data	26	129	50	37	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2375	complete data	50	108	50	8	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2376	complete data	49	113	50	14	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2377	complete data	20	131	50	35	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2378	complete data	26	116	50	15	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2380	complete data	31	116	50	22	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2381	complete data	22	112	50	13	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
2473							
3001	complete data	44	112	50	10	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3002	complete data	41	114	50	12	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3003	complete data	26	115	50	22	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3004	complete data	30	117	50	22	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3005	complete data	45	108	50	9	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3006	complete data	37	116	50	21	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3007	complete data	34	113	50	16	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3033							
3035							
3101	complete data	36	119	50	21	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3102	complete data	50	108	50	7	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3103	complete data	50	114	50	15	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3201	complete data	50	113	50	12	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3202	complete data	41	112	48	21	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3203	complete data	31	109	50	10	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3204	complete data	25	117	50	18	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3205	complete data	30	115	50	14	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3206	complete data	18	99	41	27	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3207	complete data	47	119	50	16	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3208	complete data	45	114	50	15	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3209	complete data	50	114	50	10	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3210	complete data	9	126	50	19	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3211	complete data	35	121	50	25	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3212	complete data	34	122	50	24	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3213	complete data	41	116	47	28	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3214	complete data	26	112	50	13	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3301	complete data	47	107	50	7	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3302	complete data	48	122	50	17	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3303	complete data	50	113	50	7	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3304							
3305	complete data	50	109	50	8	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3306	complete data	39	116	50	20	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3307	complete data	30	121	50	30	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3308	complete data	37	125	50	17	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3309	complete data	45	111	50	14	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3310	complete data	50	111	50	6	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3311	complete data	26	120	49	29	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3312	complete data	33	116	50	19	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3313	complete data	50	118	50	8	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3314	complete data	26	124	50	21	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3315	complete data	26	115	50	14	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3316	complete data	33	116	50	17	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3317	complete data	39	116	50	15	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3318	complete data	50	107	50	4	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3319	complete data	41	114	50	12	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
3320	complete data	26	123	50	26	exp1	https://run.pavlovia.org/petyaraczbme/lex_span4/html/
